Geracao,Melhor_X,Melhor_Y,Fitness
563,14.095459,0.843872,-6960.787598
564,14.095459,0.843872,-6960.787598
565,14.095459,0.843872,-6960.787598
566,14.095459,0.843872,-6960.787598
567,14.095459,0.843872,-6960.787598
568,14.095459,0.843872,-6960.787598
569,14.095459,0.843872,-6960.787598
570,14.095459,0.843872,-6960.787598
571,14.095459,0.843872,-6960.787598
572,14.095459,0.843872,-6960.787598
573,14.095459,0.843872,-6960.787598
574,14.095459,0.843872,-6960.787598
575,14.095459,0.843872,-6960.787598
576,14.095459,0.843872,-6960.787598
577,14.095459,0.843872,-6960.787598
578,14.095459,0.843872,-6960.787598
579,14.095459,0.843872,-6960.787598
580,14.095459,0.843872,-6960.787598
581,14.095459,0.843872,-6960.787598
582,14.095459,0.843872,-6960.787598
583,14.095459,0.843872,-6960.787598
584,14.095459,0.843872,-6960.787598
585,14.095459,0.843872,-6960.787598
586,14.095459,0.843872,-6960.787598
587,14.095459,0.843872,-6960.787598
588,14.095459,0.843872,-6960.787598
589,14.095459,0.843872,-6960.787598
590,14.095459,0.843872,-6960.787598
591,14.095459,0.843872,-6960.787598
592,14.095459,0.843872,-6960.787598
593,14.095459,0.843872,-6960.787598
594,14.095459,0.843872,-6960.787598
595,14.095459,0.843872,-6960.787598
596,14.095383,0.843765,-6960.909180
597,14.095383,0.843765,-6960.909180
598,14.095383,0.843765,-6960.909180
599,14.095383,0.843765,-6960.909180
600,14.095383,0.843765,-6960.909180
601,14.095383,0.843765,-6960.909180
602,14.095383,0.843765,-6960.909180
603,14.095383,0.843765,-6960.909180
604,14.095383,0.843765,-6960.909180
605,14.095383,0.843765,-6960.909180
606,14.095383,0.843765,-6960.909180
607,14.095383,0.843765,-6960.909180
608,14.095367,0.843750,-6960.926758
609,14.095367,0.843750,-6960.926758
610,14.095367,0.843750,-6960.926758
611,14.095367,0.843750,-6960.926758
612,14.095367,0.843750,-6960.926758
613,14.095367,0.843750,-6960.926758
614,14.095367,0.843750,-6960.926758
615,14.095367,0.843750,-6960.926758
616,14.095367,0.843750,-6960.926758
617,14.095367,0.843750,-6960.926758
618,14.095367,0.843750,-6960.926758
619,14.095367,0.843750,-6960.926758
620,14.095367,0.843750,-6960.926758
621,14.095367,0.843750,-6960.926758
622,14.095367,0.843750,-6960.926758
623,14.095367,0.843750,-6960.926758
624,14.095367,0.843750,-6960.926758
625,14.095367,0.843750,-6960.926758
626,14.095367,0.843750,-6960.926758
627,14.095367,0.843750,-6960.926758
628,14.095367,0.843750,-6960.926758
629,14.095367,0.843750,-6960.926758
630,14.095367,0.843750,-6960.926758
631,14.095367,0.843750,-6960.926758
632,14.095367,0.843750,-6960.926758
633,14.095367,0.843750,-6960.926758
634,14.095367,0.843750,-6960.926758
635,14.095367,0.843750,-6960.926758
636,14.095367,0.843750,-6960.926758
637,14.095367,0.843750,-6960.926758
638,14.095367,0.843750,-6960.926758
639,14.095367,0.843750,-6960.926758
640,14.095367,0.843750,-6960.926758
641,14.095367,0.843750,-6960.926758
642,14.095367,0.843750,-6960.926758
643,14.095367,0.843750,-6960.926758
644,14.095367,0.843750,-6960.926758
645,14.095367,0.843750,-6960.926758
646,14.095367,0.843750,-6960.926758
647,14.095367,0.843750,-6960.926758
648,14.095367,0.843750,-6960.926758
649,14.095367,0.843750,-6960.926758
650,14.095367,0.843750,-6960.926758
651,14.095367,0.843750,-6960.926758
652,14.095367,0.843750,-6960.926758
653,14.095367,0.843750,-6960.926758
654,14.095367,0.843750,-6960.926758
655,14.095367,0.843750,-6960.926758
656,14.095367,0.843750,-6960.926758
657,14.095367,0.843750,-6960.926758
658,14.095367,0.843750,-6960.926758
659,14.095367,0.843750,-6960.926758
660,14.095367,0.843750,-6960.926758
661,14.095367,0.843750,-6960.926758
662,14.095367,0.843750,-6960.926758
663,14.095367,0.843750,-6960.926758
664,14.095367,0.843750,-6960.926758
665,14.095367,0.843750,-6960.926758
666,14.095367,0.843750,-6960.926758
667,14.095367,0.843750,-6960.926758
668,14.095367,0.843750,-6960.926758
669,14.095367,0.843750,-6960.926758
670,14.095367,0.843750,-6960.926758
671,14.095367,0.843750,-6960.926758
672,14.095367,0.843750,-6960.926758
673,14.095367,0.843750,-6960.926758
674,14.095367,0.843750,-6960.926758
